Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,28.0,1.0,28.0,28.0,0.0,15.800149079994295,0.0,0.0,0.016153573989868164,,,,,,,,,,,,,,,,,,,,,6.754427234728879,5.100403758459781,15.642294063254331,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,44.0,2.0,16.0,44.0,0.0,9.80635516895058,0.0,0.0,1.7883384227752686,,,,,,,,,,,,,,,,,,,,,4.295447322275686,3.284137699519332,9.757132519701052,0.17959429468661237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,60.0,3.0,16.0,60.0,0.0,8.89052115132315,0.0,0.0,3.59545636177063,,,,,,,,,,,,,,,,,,,,,3.5627991499252367,3.1220741602515303,8.851209933581574,0.0002081352485978627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,83.0,4.0,23.0,83.0,0.0,12.889439953307258,0.0,0.0,6.029058933258057,,,,,,,,,,,,,,,,,,,,,5.087185050327771,4.372125178644415,12.798017935001791,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,99.0,5.0,16.0,99.0,0.0,7.585789349700366,0.0,0.0,7.807342767715454,,,,,,,,,,,,,,,,,,,,,2.854085484175276,2.631185044896807,7.555226880487657,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,113.0,6.0,14.0,113.0,0.0,5.4706464914258754,0.0,0.0,9.602659225463867,,,,,,,,,,,,,,,,,,,,,2.031676458991998,2.030236313654203,5.453103775447106,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,126.0,7.0,13.0,126.0,0.0,4.337447214724579,0.0,0.0,11.19013524055481,,,,,,,,,,,,,,,,,,,,,1.5400739157787018,1.6337404908891406,4.326074075897173,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,143.0,8.0,17.0,143.0,0.0,11.66076688328071,0.0,0.0,13.260677099227905,,,,,,,,,,,,,,,,,,,,,5.204639338329636,4.008989189258052,11.595467353769294,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,156.0,9.0,13.0,156.0,0.0,5.932517551860125,0.0,0.0,14.819538831710815,,,,,,,,,,,,,,,,,,,,,2.1127498471668824,2.247002420674358,5.916879646259829,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,171.0,10.0,15.0,171.0,0.0,6.742355061343163,0.0,0.0,16.47560477256775,,,,,,,,,,,,,,,,,,,,,2.55258986850814,2.473340920221635,6.717494484790636,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
